midi_note,note_name,event,velocity,delta,cumulative_time
64,E4,note_on,98,0,0
64,E4,note_off,98,0.06993,69.93
52,E3,note_on,98,0.034965,104.9
52,E3,note_off,98,0.06993,174.83
52,E3,note_on,98,0.034965,209.79
52,E3,note_off,98,0.06993,279.72
59,B3,note_on,98,0.034965,314.69
59,B3,note_off,98,0.06993,384.62
52,E3,note_on,98,0.034965,419.58
52,E3,note_off,98,0.06993,489.51
52,E3,note_on,98,0.034965,524.48
52,E3,note_off,98,0.06993,594.41
64,E4,note_on,98,0.034965,629.37
64,E4,note_off,98,0.06993,699.3
52,E3,note_on,98,0.034965,734.27
52,E3,note_off,98,0.06993,804.2
52,E3,note_on,98,0.034965,839.16
52,E3,note_off,98,0.06993,909.09
59,B3,note_on,98,0.034965,944.06
59,B3,note_off,98,0.06993,1013.99
52,E3,note_on,98,0.034965,1048.95
52,E3,note_off,98,0.06993,1118.88
52,E3,note_on,98,0.034965,1153.85
52,E3,note_off,98,0.06993,1223.78
64,E4,note_on,98,0.034965,1258.74
64,E4,note_off,98,0.06993,1328.67
52,E3,note_on,98,0.034965,1363.64
52,E3,note_off,98,0.06993,1433.57
66,F#4,note_on,98,0.034965,1468.53
66,F#4,note_off,98,0.06993,1538.46
52,E3,note_on,98,0.034965,1573.43
52,E3,note_off,98,0.06993,1643.36
67,G4,note_on,98,0.034965,1678.32
67,G4,note_off,98,0.06993,1748.25
52,E3,note_on,98,0.034965,1783.21
52,E3,note_off,98,0.06993,1853.14
52,E3,note_on,98,0.034965,1888.11
52,E3,note_off,98,0.06993,1958.04
64,E4,note_on,98,0.034965,1993.0
64,E4,note_off,98,0.06993,2062.93
52,E3,note_on,98,0.034965,2097.9
52,E3,note_off,98,0.06993,2167.83
52,E3,note_on,98,0.034965,2202.8
52,E3,note_off,98,0.06993,2272.72
67,G4,note_on,98,0.034965,2307.69
67,G4,note_off,98,0.06993,2377.62
67,G4,note_on,98,0.034965,2412.59
67,G4,note_off,98,0.06993,2482.51
52,E3,note_on,98,0.034965,2517.48
52,E3,note_off,98,0.06993,2587.41
69,A4,note_on,98,0.034965,2622.38
69,A4,note_off,98,0.06993,2692.3
50,D3,note_on,98,0.034965,2727.27
50,D3,note_off,98,0.06993,2797.2
50,D3,note_on,98,0.034965,2832.16
50,D3,note_off,98,0.06993,2902.09
66,F#4,note_on,98,0.034965,2937.06
66,F#4,note_off,98,0.06993,3006.99
50,D3,note_on,98,0.034965,3041.95
50,D3,note_off,98,0.06993,3111.88
62,D4,note_on,98,0.034965,3146.85
62,D4,note_off,98,0.06993,3216.78
62,D4,note_on,98,0.034965,3251.74
62,D4,note_off,98,0.06993,3321.67
64,E4,note_on,98,0.034965,3356.64
64,E4,note_off,98,0.06993,3426.57
48,C3,note_on,98,0.034965,3461.53
48,C3,note_off,98,0.06993,3531.46
48,C3,note_on,98,0.034965,3566.43
48,C3,note_off,98,0.06993,3636.36
60,C4,note_on,98,0.034965,3671.32
60,C4,note_off,98,0.06993,3741.25
48,C3,note_on,98,0.034965,3776.22
48,C3,note_off,98,0.06993,3846.15
48,C3,note_on,98,0.034965,3881.11
48,C3,note_off,98,0.06993,3951.04
64,E4,note_on,98,0.034965,3986.01
64,E4,note_off,98,0.06993,4055.94
48,C3,note_on,98,0.034965,4090.9
48,C3,note_off,98,0.06993,4160.84
48,C3,note_on,98,0.034965,4195.8
48,C3,note_off,98,0.06993,4265.73
60,C4,note_on,98,0.034965,4300.69
60,C4,note_off,98,0.06993,4370.62
48,C3,note_on,98,0.034965,4405.59
48,C3,note_off,98,0.06993,4475.52
48,C3,note_on,98,0.034965,4510.48
48,C3,note_off,98,0.06993,4580.41
64,E4,note_on,98,0.034965,4615.38
64,E4,note_off,98,0.06993,4685.31
64,E4,note_on,98,0.034965,4720.27
64,E4,note_off,98,0.06993,4790.2
66,F#4,note_on,98,0.034965,4825.17
66,F#4,note_off,98,0.06993,4895.1
48,C3,note_on,98,0.034965,4930.06
48,C3,note_off,98,0.06993,4999.99
67,G4,note_on,98,0.034965,5034.96
67,G4,note_off,98,0.06993,5104.89
48,C3,note_on,98,0.034965,5139.85
48,C3,note_off,98,0.06993,5209.78
48,C3,note_on,98,0.034965,5244.75
48,C3,note_off,98,0.06993,5314.68
64,E4,note_on,98,0.034965,5349.64
64,E4,note_off,98,0.06993,5419.57
48,C3,note_on,98,0.034965,5454.54
48,C3,note_off,98,0.06993,5524.47
48,C3,note_on,98,0.034965,5559.43
48,C3,note_off,98,0.06993,5629.36
67,G4,note_on,98,0.034965,5664.33
67,G4,note_off,98,0.06993,5734.26
48,C3,note_on,98,0.034965,5769.22
